PID,Cycle,Category,PI Title,PI Country,PI Institution,Orbits,N People,Size,Science Category,Title,
15647,26,GO,Dr.,USA,California Institute of Technology,164,45,LARGE,Galaxies and the IGM,Ultraviolet Imaging of the Cosmic Assembly Near-infrared Deep Extragalactic Legacy Survey Fields (UVCANDELS),
15648,26,GO,Dr.,USA,Southwest Research Institute,206,7,LARGE,Solar System,The Solar System Origins Legacy Survey,
15649,26,GO,Dr.,USA,University of Toledo,38,7,MEDIUM,Stellar Populations,"Clusters, Clumps, Dust and Gas in Extreme Star-Forming Galaxies",
15650,26,GO,Ms.,USA,University of Connecticut,40,15,MEDIUM,Massive Black Holes And Their Host Galaxies,Ultraviolet Echoes of Quasar Accretion Disks,
15651,26,GO,Dr.,USA,Carnegie Institution of Washington,44,13,MEDIUM,Stellar Physics,The Origin and Impact of Flares in the Closest Planetary System- Proxima Centauri,
15652,26,GO,Prof.,USA,University of California - Los Angeles,35,30,MEDIUM,Cosmology,"H0, the stellar initial mass function, and other dark matters from a large sample of quadruply imaged quasars",
15653,26,GO,Dr.,USA,University of California - Berkeley,40,7,MEDIUM,Planets and Planet Formation,Optical coronagraphic imaging of debris disks newly resolved around young stars,
15654,26,GO,Dr.,USA,California Institute of Technology,122,21,LARGE,Galaxies and the IGM,PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,
15655,26,GO,Dr.,USA,Princeton University,39,17,MEDIUM,Massive Black Holes And Their Host Galaxies,"The first high resolution view of the full extent, morphology, and multi-phase nature of radio-loud and quiet AGN feedback with ACS+SBC",
15656,26,GO,Dr.,USA,Space Telescope Science Institute,75,5,LARGE,Galaxies and the IGM,QuaStar: The first unobscured view of the Milky Way's Circumgalactic Medium,
15657,26,GO,Dr.,USA,University of Michigan,47,9,MEDIUM,Stellar Physics,HD 222925: A unique opportunity to study the full range of nuclei produced by a single r-process event,
15658,26,GO,Dr.,USA,Space Telescope Science Institute,35,12,MEDIUM,Stellar Populations,Resolved Proper Motions of M31 and the M31-M32 Interaction,
15659,26,GO,Dr.,USA,Georgia State University Research Foundation,39,6,MEDIUM,Stellar Physics,The Missing Link in Massive Binary Star Evolution,
15660,26,GO,Dr.,USA,Rice University,50,3,MEDIUM,Stellar Physics,Testing M Dwarf Mass Loss Across the Fully Convective Boundary,
15661,26,GO,Prof.,USA,Massachusetts Institute of Technology,40,9,MEDIUM,Galaxies and the IGM,Testing the Limits of AGN Feedback in Starburst and QSO Central Cluster Galaxies,
15662,26,GO,Prof.,USA,University of Maryland,50,5,MEDIUM,Massive Black Holes And Their Host Galaxies,Galactic Winds across the Gas-Rich Merger Sequence,
15663,26,GO,Mr.,USA,University of Connecticut,60,18,MEDIUM,Galaxies and the IGM,REsolving QUIEscent Magnified (REQUIEM) Galaxies: Uncovering Formation Pathways via Spatially Resolved Gradients at z=1.6-2.9,
15664,26,GO,Prof.,GBR,The University of Warwick,45,109,LARGE,Stellar Physics,New insights from gravitational waves combined with electromagnetic light,
